run,shift_mm,lift_mm,kp,kd,timing_scale,friction_scale,returncode,pass,reason,clearance_mm,support_margin_mm,roll_deg,pitch_deg,peak_torque_nm,tracking_error_rad,joint_rate_rad_s,touchdown_velocity_m_s,final_joint_error_rad
110,70,14,140,2.5,0.75,1.0,0,True,,8.310399850000001,79.03545371999999,0.6054464008,1.095187482,10.81798613,0.07762592318,0.8088331093,-0.01133572473,0.4022282084
111,70,14,140,2.5,0.75,1.5,0,True,,11.55145537,75.6928264,0.9275604963,1.538879922,11.01914048,0.07896771739,0.6532454079,-0.0009381918524,0.4037492172
112,70,14,140,2.5,1.0,0.5,0,True,,8.314530866,79.25979831000001,0.5928820314,1.080539677,10.7218829,0.07615105476,0.8088331093,-0.000646082931,0.4022283118
113,70,14,140,2.5,1.0,1.0,0,True,,8.314530866,79.25979831000001,0.5928820314,1.080539677,10.7218829,0.07615105476,0.8088331093,-0.000646082931,0.4022283118
114,70,14,140,2.5,1.0,1.5,0,True,,11.414104870000001,76.46871177,0.8926384449,1.481462497,10.75217169,0.07694691866,0.6532454079,-0.0005408622024,0.4037569142
115,70,14,140,2.5,1.25,0.5,0,True,,8.275001693,79.24947499,0.589969876,1.080502002,10.72190868,0.07615097397,0.8088331093,-0.000613051192,0.4022318086
116,70,14,140,2.5,1.25,1.0,0,True,,8.275001693,79.24947499,0.589969876,1.080502002,10.72190868,0.07615097397,0.8088331093,-0.000613051192,0.4022318086
117,70,14,140,2.5,1.25,1.5,0,True,,11.408378800000001,76.67356869,0.8836197638,1.466131327,10.75220794,0.0763578841,0.6532454079,-0.0005921047578,0.4037561457
118,70,14,180,3.5,0.75,0.5,0,True,,8.867194416,84.70501208,0.4718229271,0.8101639644,10.44968353,0.05842715577,0.6358433803,-0.01492799945,0.3956373399
119,70,14,180,3.5,0.75,1.0,0,True,,8.867194416,84.70501208,0.4718229271,0.8101639644,10.44968353,0.05842715577,0.6358433803,-0.01492799945,0.3956373399
